jpath,kx_rad_per_um,ky_rad_per_um,frequency_order,frequency_GHz
24,15.707963268,3.141592654,3,12.035000
24,15.707963268,3.141592654,4,12.358000
24,15.707963268,3.141592654,5,13.330000
24,15.707963268,3.141592654,6,13.376000
24,15.707963268,3.141592654,7,14.155000
24,15.707963268,3.141592654,8,14.235000
24,15.707963268,3.141592654,9,14.242000
24,15.707963268,3.141592654,10,14.954000
24,15.707963268,3.141592654,11,15.477000
24,15.707963268,3.141592654,12,15.602000
24,15.707963268,3.141592654,13,16.209000
24,15.707963268,3.141592654,14,17.142000
24,15.707963268,3.141592654,15,17.216000
24,15.707963268,3.141592654,16,17.685000
24,15.707963268,3.141592654,17,18.040000
24,15.707963268,3.141592654,18,18.157000
24,15.707963268,3.141592654,19,18.615000
24,15.707963268,3.141592654,20,18.852000
24,15.707963268,3.141592654,21,19.261000
24,15.707963268,3.141592654,22,19.565000
24,15.707963268,3.141592654,23,19.872000
24,15.707963268,3.141592654,24,20.794000
25,15.707963268,3.926990817,1,9.464200
25,15.707963268,3.926990817,2,10.304000
25,15.707963268,3.926990817,3,12.049000
25,15.707963268,3.926990817,4,12.356000
25,15.707963268,3.926990817,5,13.217000
25,15.707963268,3.926990817,6,13.274000
25,15.707963268,3.926990817,7,14.064000
25,15.707963268,3.926990817,8,14.339000
25,15.707963268,3.926990817,9,14.344000
25,15.707963268,3.926990817,10,15.057000
25,15.707963268,3.926990817,11,15.467000
25,15.707963268,3.926990817,12,15.617000
25,15.707963268,3.926990817,13,16.206000
25,15.707963268,3.926990817,14,17.105000
25,15.707963268,3.926990817,15,17.177000
25,15.707963268,3.926990817,16,17.670000
25,15.707963268,3.926990817,17,18.024000
25,15.707963268,3.926990817,18,18.114000
25,15.707963268,3.926990817,19,18.560000
25,15.707963268,3.926990817,20,18.917000
25,15.707963268,3.926990817,21,19.294000
25,15.707963268,3.926990817,22,19.609000
25,15.707963268,3.926990817,23,19.931000
25,15.707963268,3.926990817,24,20.803000
26,15.707963268,4.712388980,1,9.543400
26,15.707963268,4.712388980,2,10.350000
26,15.707963268,4.712388980,3,12.065000
26,15.707963268,4.712388980,4,12.352000
26,15.707963268,4.712388980,5,13.101000
26,15.707963268,4.712388980,6,13.176000
26,15.707963268,4.712388980,7,13.975000
26,15.707963268,4.712388980,8,14.439000
26,15.707963268,4.712388980,9,14.450000
26,15.707963268,4.712388980,10,15.161000
26,15.707963268,4.712388980,11,15.458000
26,15.707963268,4.712388980,12,15.632000
26,15.707963268,4.712388980,13,16.202000
26,15.707963268,4.712388980,14,17.064000
26,15.707963268,4.712388980,15,17.138000
26,15.707963268,4.712388980,16,17.628000
26,15.707963268,4.712388980,17,17.998000
26,15.707963268,4.712388980,18,18.100000
26,15.707963268,4.712388980,19,18.512000
26,15.707963268,4.712388980,20,18.974000
26,15.707963268,4.712388980,21,19.325000
26,15.707963268,4.712388980,22,19.664000
26,15.707963268,4.712388980,23,20.000000
26,15.707963268,4.712388980,24,20.779000
27,15.707963268,5.497787144,1,9.633600
27,15.707963268,5.497787144,2,10.403000
27,15.707963268,5.497787144,3,12.084000
27,15.707963268,5.497787144,4,12.345000
27,15.707963268,5.497787144,5,12.984000
27,15.707963268,5.497787144,6,13.082000
27,15.707963268,5.497787144,7,13.887000
27,15.707963268,5.497787144,8,14.539000
27,15.707963268,5.497787144,9,14.555000
